,precision,recall,f1-score,support
plane,0.4933569530558016,0.557,0.5232503522780648,1000.0
car,0.7004538577912254,0.463,0.5574954846478025,1000.0
bird,0.3375609756097561,0.346,0.3417283950617284,1000.0
cat,0.32510288065843623,0.237,0.2741469057258531,1000.0
deer,0.5346020761245674,0.309,0.3916349809885932,1000.0
dog,0.3935907970419063,0.479,0.4321154713576906,1000.0
frog,0.408505875769446,0.73,0.5238607822030857,1000.0
horse,0.6853766617429837,0.464,0.5533691115086464,1000.0
ship,0.5397815912636506,0.692,0.6064855390008764,1000.0
truck,0.5748633879781421,0.526,0.5493472584856397,1000.0
accuracy,0.4803,0.4803,0.4803,0.4803
macro avg,0.49931950570359146,0.4803,0.4753434281257981,10000.0
weighted avg,0.4993195057035915,0.4803,0.47534342812579805,10000.0
