,precision,recall,f1-score,support
0,0.8858875413450937,0.9214449541284404,0.9033164699269253,1744.0
1,0.929542408577446,0.9521474798980192,0.9407091648905251,5099.0
2,0.9122091628687935,0.9166064111834177,0.9144025006011061,4149.0
3,0.7872900889035233,0.8296321998612075,0.8079067410035479,2882.0
4,0.9174852652259332,0.9254855330955212,0.9214680347277032,2523.0
5,0.872421052631579,0.8691275167785235,0.8707711704139525,2384.0
6,0.8179059180576631,0.8179059180576631,0.8179059180576631,1977.0
7,0.937696335078534,0.8870728083209509,0.9116823619241538,2019.0
8,0.8968253968253969,0.7487951807228915,0.8161523309258043,1660.0
9,0.8709273182957393,0.8714733542319749,0.8712002507051081,1595.0
accuracy,0.8875230485556238,0.8875230485556238,0.8875230485556238,0.8875230485556238
macro avg,0.8828190487809703,0.8739691356278609,0.8775514943176489,26032.0
weighted avg,0.8881832249530945,0.8875230485556238,0.8872598892792243,26032.0
