,precision,recall,f1-score,support
plane,0.6416666666666667,0.693,0.6663461538461538,1000.0
car,0.7097729516288253,0.719,0.7143566815697964,1000.0
bird,0.47584973166368516,0.532,0.502360717658168,1000.0
cat,0.467515923566879,0.367,0.41120448179271707,1000.0
deer,0.631578947368421,0.42,0.5045045045045045,1000.0
dog,0.46079223928860147,0.57,0.5096110862762628,1000.0
frog,0.6818181818181818,0.75,0.7142857142857143,1000.0
horse,0.6577181208053692,0.686,0.6715614292706804,1000.0
ship,0.7515527950310559,0.726,0.7385554425228891,1000.0
truck,0.6455186304128903,0.641,0.643251379829403,1000.0
accuracy,0.6104,0.6104,0.6104,0.6104
macro avg,0.6123784188250576,0.6104,0.6076037591556289,10000.0
weighted avg,0.6123784188250576,0.6104,0.607603759155629,10000.0
