,precision,recall,f1-score,support
0,0.8598240469208212,0.8405963302752294,0.8501014786894752,1744.0
1,0.888558692421991,0.9382231810158854,0.9127158256224364,5099.0
2,0.8771844660194175,0.8710532658471921,0.8741081146450599,4149.0
3,0.7170462387853692,0.721027064538515,0.7190311418685121,2882.0
4,0.8417457305502847,0.8791121680539041,0.86002326483133,2523.0
5,0.7220313096601756,0.7932046979865772,0.7559464321407156,2384.0
6,0.7205405405405405,0.6742539200809307,0.6966292134831461,1977.0
7,0.9005756148613292,0.8524021792966815,0.8758269720101781,2019.0
8,0.776425855513308,0.6150602409638555,0.6863865546218487,1660.0
9,0.7887147335423198,0.7887147335423198,0.7887147335423198,1595.0
accuracy,0.8214505224339275,0.8214505224339275,0.8214505224339275,0.8214505224339275
macro avg,0.8092647228815556,0.7973647781601091,0.8019483731455022,26032.0
weighted avg,0.8209490002995402,0.8214505224339275,0.8201592108105624,26032.0
