,precision,recall,f1-score,support
plane,0.8980392156862745,0.916,0.906930693069307,1000.0
car,0.9575757575757575,0.948,0.9527638190954774,1000.0
bird,0.8419512195121951,0.863,0.8523456790123457,1000.0
cat,0.7935010482180294,0.757,0.77482088024565,1000.0
deer,0.8737864077669902,0.9,0.8866995073891626,1000.0
dog,0.8385786802030457,0.826,0.8322418136020151,1000.0
frog,0.9186746987951807,0.915,0.9168336673346693,1000.0
horse,0.9236947791164659,0.92,0.9218436873747495,1000.0
ship,0.9365079365079365,0.944,0.9402390438247012,1000.0
truck,0.9427710843373494,0.939,0.9408817635270541,1000.0
accuracy,0.8928,0.8928,0.8928,0.8928
macro avg,0.8925080827719226,0.8927999999999999,0.8925600554475132,10000.0
weighted avg,0.8925080827719225,0.8928,0.8925600554475132,10000.0
